rgb_conv.0.weight	[8, 5, 1, 1]
feature_extractor.aspp.concurent.0.0.weight	[256, 160, 1, 1]
feature_extractor.aspp.concurent.0.1.weight	[256]
feature_extractor.aspp.concurent.0.1.bias	[256]
feature_extractor.aspp.concurent.0.1._mean	[256]
feature_extractor.aspp.concurent.0.1._variance	[256]
feature_extractor.aspp.concurent.1.0.weight	[256, 160, 3, 3]
feature_extractor.aspp.concurent.1.1.weight	[256]
feature_extractor.aspp.concurent.1.1.bias	[256]
feature_extractor.aspp.concurent.1.1._mean	[256]
feature_extractor.aspp.concurent.1.1._variance	[256]
feature_extractor.aspp.concurent.2.0.weight	[256, 160, 3, 3]
feature_extractor.aspp.concurent.2.1.weight	[256]
feature_extractor.aspp.concurent.2.1.bias	[256]
feature_extractor.aspp.concurent.2.1._mean	[256]
feature_extractor.aspp.concurent.2.1._variance	[256]
feature_extractor.aspp.concurent.3.0.weight	[256, 160, 3, 3]
feature_extractor.aspp.concurent.3.1.weight	[256]
feature_extractor.aspp.concurent.3.1.bias	[256]
feature_extractor.aspp.concurent.3.1._mean	[256]
feature_extractor.aspp.concurent.3.1._variance	[256]
feature_extractor.aspp.concurent.4.gap.1.weight	[256, 160, 1, 1]
feature_extractor.aspp.concurent.4.gap.2.weight	[256]
feature_extractor.aspp.concurent.4.gap.2.bias	[256]
feature_extractor.aspp.concurent.4.gap.2._mean	[256]
feature_extractor.aspp.concurent.4.gap.2._variance	[256]
feature_extractor.aspp.project.0.weight	[256, 1280, 1, 1]
feature_extractor.aspp.project.1.weight	[256]
feature_extractor.aspp.project.1.bias	[256]
feature_extractor.aspp.project.1._mean	[256]
feature_extractor.aspp.project.1._variance	[256]
head.layers.0.body.0.weight	[256, 1, 3, 3]
head.layers.0.body.1.weight	[128, 256, 1, 1]
head.layers.0.body.2.weight	[128]
head.layers.0.body.2.bias	[128]
head.layers.0.body.2._mean	[128]
head.layers.0.body.2._variance	[128]
head.layers.1.body.0.weight	[128, 1, 3, 3]
head.layers.1.body.1.weight	[128, 128, 1, 1]
head.layers.1.body.2.weight	[128]
head.layers.1.body.2.bias	[128]
head.layers.1.body.2._mean	[128]
head.layers.1.body.2._variance	[128]
head.layers.2.weight	[1, 128, 1, 1]
head.layers.2.bias	[1]
